,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
9,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,844.3,98.01542160524284,102.48373806830712,0.0125,0.0014,0.0014683706373672,6.691803227335459e-05,5343473.560361224,5650145.112156156,38.87293438353866,41.103921956613966,3.1071599527265046,02/24/2017 17:15:35,137373.0,137460.0
10,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,88Y,898.042,7973.631502825404,106.6257287963473,0.937,0.003,0.0014004535545308,6.772462427472953e-05,6080269.328127549,313182.9602461639,44.23300835244834,2.2783570511142432,1.263729938444236,02/24/2017 17:15:35,137373.0,137460.0
11,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,89ZR,909.15,5162.351692252577,95.0003373287194,0.9904,0.04952,0.0013872207056192,6.790750871872452e-05,3759813.9156928426,277021.53373240586,27.35205816741483,2.0152883292041746,1.263729938444236,02/24/2017 17:15:35,137373.0,137460.0
12,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,912.8,10088.224960175836,120.58477735250518,0.0063,0.0008,0.001382918304076,6.796324420433473e-05,1158650999.7651694,158790911.39468193,8429.004799688413,1155.179044046864,1.263729938444236,02/24/2017 17:15:35,137373.0,137460.0
13,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,934.47,565306.2698995107,7381.320297468258,0.139,0.015,0.0013578324619599,6.823887510297863e-05,2997076109.2894974,358939861.8047109,21803.259924992704,2611.231353155179,107.00971597013267,02/24/2017 17:15:35,137373.0,137460.0
14,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,972.3,1.3149271152335022e-10,26.68922614145054,0.00068,8.999999999999999e-05,0.0013158525302586,6.843282898666196e-05,0.0001470484683985,29846595.91681454,1.0697546078755154e-09,217.12931701450995,1.5084223911241446,02/24/2017 17:15:35,137373.0,137460.0
15,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,96NB,1091.349,357.10149494167507,22.088410872118715,0.485,0.015,0.0011991861089356,6.62691520845551e-05,614381.737094695,63363.9519578169,4.469531042446493,0.4609628397920624,0.6655440244940848,02/24/2017 17:15:35,137373.0,137460.0
16,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,89NB,1127.0,37.99004275503813,18.780351585385016,0.021,0.005,0.0011689794502048,6.488501249184827e-05,1548526.2362337147,890199.4439263103,11.265286164947728,6.476061719236943,1.1358731039277574,02/24/2017 17:15:35,137373.0,137460.0
17,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,1132.4,72.2259233974509,28.41850514655277,0.0024,0.0003,0.001164568780659,6.465335066803644e-05,25857806.11023404,11192838.244267575,188.11149505480896,81.42614756487399,1.1358731039277574,02/24/2017 17:15:35,137373.0,137460.0
18,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,96NB,1200.231,226.22528427078885,60.93193025880999,0.1997,0.001,0.0011119734857979,6.162610455199716e-05,1019397.5905523296,288440.6950920654,7.415958028170592,2.098360942034522,0.9175289602257028,02/24/2017 17:15:35,137373.0,137460.0
