85Rb(a,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
56.1	245.1	25.4	1.88E+02	5.09E+00	1.84E+02	4.00E+03
56.2	243.0	25.2	1.89E+02	5.10E+00	1.84E+02	4.01E+03
56.3	240.9	25.0	1.89E+02	5.11E+00	1.85E+02	4.02E+03
56.4	238.8	24.7	1.89E+02	5.12E+00	1.85E+02	4.03E+03
56.5	236.8	24.5	1.90E+02	5.12E+00	1.85E+02	4.03E+03
56.6	234.8	24.3	1.90E+02	5.13E+00	1.86E+02	4.04E+03
56.7	232.8	24.1	1.90E+02	5.14E+00	1.86E+02	4.05E+03
56.8	230.8	23.9	1.91E+02	5.15E+00	1.86E+02	4.05E+03
56.9	228.9	23.7	1.91E+02	5.16E+00	1.86E+02	4.06E+03
57.0	227.0	23.5	1.91E+02	5.17E+00	1.87E+02	4.06E+03
57.1	225.1	23.3	1.91E+02	5.17E+00	1.87E+02	4.07E+03
57.2	223.3	23.1	1.92E+02	5.18E+00	1.87E+02	4.08E+03
57.3	221.5	22.9	1.92E+02	5.19E+00	1.88E+02	4.08E+03
57.4	219.7	22.8	1.92E+02	5.20E+00	1.88E+02	4.09E+03
57.5	217.9	22.6	1.93E+02	5.21E+00	1.88E+02	4.10E+03
57.6	216.2	22.4	1.93E+02	5.21E+00	1.88E+02	4.10E+03
57.7	214.5	22.2	1.93E+02	5.22E+00	1.89E+02	4.11E+03
57.8	212.8	22.0	1.93E+02	5.23E+00	1.89E+02	4.11E+03
57.9	211.1	21.9	1.94E+02	5.24E+00	1.89E+02	4.12E+03
58.0	209.5	24.8	1.94E+02	5.24E+00	1.90E+02	4.13E+03
58.1	207.8	24.6	1.94E+02	5.25E+00	1.90E+02	4.13E+03
58.2	206.2	24.4	1.95E+02	5.26E+00	1.90E+02	4.14E+03
58.3	204.7	24.2	1.95E+02	5.27E+00	1.90E+02	4.14E+03
58.4	203.1	24.0	1.95E+02	5.27E+00	1.91E+02	4.15E+03
58.5	201.6	23.9	1.95E+02	5.28E+00	1.91E+02	4.16E+03
58.6	200.1	23.7	1.96E+02	5.29E+00	1.91E+02	4.16E+03
