86Sr(p,n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
22.1	130.9	5.4	7.81E+02	2.11E+01	7.63E+02	1.66E+04
22.2	128.5	5.3	7.83E+02	2.12E+01	7.65E+02	1.67E+04
22.3	126.2	5.2	7.85E+02	2.12E+01	7.67E+02	1.67E+04
22.4	124.0	5.1	7.87E+02	2.13E+01	7.69E+02	1.67E+04
22.5	121.9	5.0	7.89E+02	2.13E+01	7.70E+02	1.68E+04
22.6	119.9	4.9	7.90E+02	2.14E+01	7.72E+02	1.68E+04
22.7	118.0	4.8	7.92E+02	2.14E+01	7.74E+02	1.68E+04
22.8	116.1	4.8	7.94E+02	2.15E+01	7.75E+02	1.69E+04
22.9	114.3	4.7	7.95E+02	2.15E+01	7.77E+02	1.69E+04
23.0	112.6	4.6	7.97E+02	2.15E+01	7.79E+02	1.70E+04
23.1	110.9	4.5	7.99E+02	2.16E+01	7.80E+02	1.70E+04
23.2	109.3	4.5	8.00E+02	2.16E+01	7.82E+02	1.70E+04
23.3	107.8	4.4	8.02E+02	2.17E+01	7.83E+02	1.71E+04
23.4	106.3	4.4	8.04E+02	2.17E+01	7.85E+02	1.71E+04
23.5	104.9	4.3	8.05E+02	2.18E+01	7.87E+02	1.71E+04
23.6	103.6	4.2	8.07E+02	2.18E+01	7.88E+02	1.72E+04
23.7	102.3	4.2	8.08E+02	2.18E+01	7.90E+02	1.72E+04
23.8	101.0	4.1	8.10E+02	2.19E+01	7.91E+02	1.72E+04
23.9	99.8	4.1	8.11E+02	2.19E+01	7.93E+02	1.73E+04
24.0	98.6	4.0	8.13E+02	2.20E+01	7.94E+02	1.73E+04
24.1	97.5	4.0	8.14E+02	2.20E+01	7.96E+02	1.73E+04
24.2	96.4	3.9	8.16E+02	2.21E+01	7.97E+02	1.74E+04
24.3	95.4	3.9	8.17E+02	2.21E+01	7.99E+02	1.74E+04
24.4	94.3	3.8	8.19E+02	2.21E+01	8.00E+02	1.74E+04
24.5	93.4	3.8	8.20E+02	2.22E+01	8.01E+02	1.74E+04
