88Sr(p,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
44.6	331.8	39.6	1.31E+03	3.54E+01	1.28E+03	2.78E+04
44.7	326.9	39.1	1.32E+03	3.56E+01	1.29E+03	2.80E+04
44.8	322.0	38.5	1.32E+03	3.58E+01	1.29E+03	2.82E+04
44.9	317.0	37.9	1.33E+03	3.60E+01	1.30E+03	2.83E+04
45.0	312.1	37.3	1.34E+03	3.62E+01	1.31E+03	2.85E+04
45.1	307.2	36.7	1.35E+03	3.64E+01	1.32E+03	2.87E+04
45.2	302.3	36.1	1.35E+03	3.66E+01	1.32E+03	2.88E+04
45.3	297.4	35.5	1.36E+03	3.68E+01	1.33E+03	2.90E+04
45.4	292.6	35.0	1.37E+03	3.70E+01	1.34E+03	2.91E+04
45.5	287.8	34.4	1.38E+03	3.72E+01	1.34E+03	2.93E+04
45.6	283.0	33.8	1.38E+03	3.74E+01	1.35E+03	2.94E+04
45.7	278.3	33.3	1.39E+03	3.76E+01	1.36E+03	2.96E+04
45.8	273.6	32.7	1.40E+03	3.78E+01	1.36E+03	2.97E+04
45.9	269.0	32.1	1.40E+03	3.79E+01	1.37E+03	2.99E+04
46.0	264.4	31.6	1.41E+03	3.81E+01	1.38E+03	3.00E+04
46.1	259.9	35.3	1.42E+03	3.83E+01	1.38E+03	3.01E+04
46.2	255.5	34.7	1.42E+03	3.85E+01	1.39E+03	3.03E+04
46.3	251.2	34.1	1.43E+03	3.86E+01	1.40E+03	3.04E+04
46.4	246.9	33.5	1.44E+03	3.88E+01	1.40E+03	3.05E+04
46.5	242.7	33.0	1.44E+03	3.90E+01	1.41E+03	3.07E+04
46.6	238.6	32.4	1.45E+03	3.91E+01	1.41E+03	3.08E+04
46.7	234.5	31.9	1.45E+03	3.93E+01	1.42E+03	3.09E+04
46.8	230.5	31.3	1.46E+03	3.95E+01	1.43E+03	3.10E+04
46.9	226.6	30.8	1.47E+03	3.96E+01	1.43E+03	3.12E+04
47.0	222.8	30.3	1.47E+03	3.98E+01	1.44E+03	3.13E+04
47.1	219.0	29.7	1.48E+03	3.99E+01	1.44E+03	3.14E+04
47.2	215.3	29.2	1.48E+03	4.01E+01	1.45E+03	3.15E+04
47.3	211.7	28.8	1.49E+03	4.02E+01	1.45E+03	3.16E+04
47.4	208.2	28.3	1.49E+03	4.04E+01	1.46E+03	3.17E+04
47.5	204.7	27.8	1.50E+03	4.05E+01	1.46E+03	3.19E+04
47.6	201.3	27.3	1.50E+03	4.06E+01	1.47E+03	3.20E+04
47.7	198.0	26.9	1.51E+03	4.08E+01	1.47E+03	3.21E+04
47.8	194.7	26.5	1.51E+03	4.09E+01	1.48E+03	3.22E+04
47.9	191.6	26.0	1.52E+03	4.10E+01	1.48E+03	3.23E+04
48.0	188.5	25.6	1.52E+03	4.12E+01	1.49E+03	3.24E+04
48.1	185.5	23.3	1.53E+03	4.13E+01	1.49E+03	3.25E+04
48.2	182.5	22.9	1.53E+03	4.14E+01	1.50E+03	3.26E+04
48.3	179.7	22.6	1.54E+03	4.16E+01	1.50E+03	3.27E+04
48.4	176.9	22.2	1.54E+03	4.17E+01	1.51E+03	3.28E+04
48.5	174.1	21.9	1.55E+03	4.18E+01	1.51E+03	3.29E+04
48.6	171.5	21.6	1.55E+03	4.19E+01	1.52E+03	3.30E+04
48.7	168.9	21.2	1.56E+03	4.20E+01	1.52E+03	3.31E+04
48.8	166.3	20.9	1.56E+03	4.22E+01	1.52E+03	3.32E+04
48.9	163.9	20.6	1.56E+03	4.23E+01	1.53E+03	3.33E+04
49.0	161.5	20.3	1.57E+03	4.24E+01	1.53E+03	3.33E+04
49.1	159.1	20.0	1.57E+03	4.25E+01	1.54E+03	3.34E+04
49.2	156.9	19.7	1.58E+03	4.26E+01	1.54E+03	3.35E+04
49.3	154.6	19.4	1.58E+03	4.27E+01	1.54E+03	3.36E+04
49.4	152.5	19.2	1.58E+03	4.28E+01	1.55E+03	3.37E+04
49.5	150.3	18.9	1.59E+03	4.29E+01	1.55E+03	3.38E+04
49.6	148.3	18.6	1.59E+03	4.30E+01	1.56E+03	3.39E+04
49.7	146.3	18.4	1.60E+03	4.31E+01	1.56E+03	3.39E+04
49.8	144.3	18.1	1.60E+03	4.32E+01	1.56E+03	3.40E+04
49.9	142.4	17.9	1.60E+03	4.34E+01	1.57E+03	3.41E+04
50.0	140.5	17.7	1.61E+03	4.35E+01	1.57E+03	3.42E+04
50.1	138.7	14.5	1.61E+03	4.36E+01	1.57E+03	3.43E+04
50.2	136.9	14.3	1.62E+03	4.37E+01	1.58E+03	3.43E+04
50.3	135.1	14.1	1.62E+03	4.37E+01	1.58E+03	3.44E+04
50.4	133.4	13.9	1.62E+03	4.38E+01	1.58E+03	3.45E+04
50.5	131.8	13.8	1.63E+03	4.39E+01	1.59E+03	3.46E+04
50.6	130.1	13.6	1.63E+03	4.40E+01	1.59E+03	3.46E+04
50.7	128.5	13.4	1.63E+03	4.41E+01	1.59E+03	3.47E+04
50.8	127.0	13.3	1.64E+03	4.42E+01	1.60E+03	3.48E+04
50.9	125.5	13.1	1.64E+03	4.43E+01	1.60E+03	3.49E+04
51.0	124.0	12.9	1.64E+03	4.44E+01	1.60E+03	3.49E+04
51.1	122.6	12.8	1.65E+03	4.45E+01	1.61E+03	3.50E+04
51.2	121.2	12.6	1.65E+03	4.46E+01	1.61E+03	3.51E+04
51.3	119.8	12.5	1.65E+03	4.47E+01	1.61E+03	3.51E+04
51.4	118.5	12.4	1.66E+03	4.48E+01	1.62E+03	3.52E+04
51.5	117.2	12.2	1.66E+03	4.48E+01	1.62E+03	3.53E+04
51.6	115.9	12.1	1.66E+03	4.49E+01	1.62E+03	3.53E+04
51.7	114.7	12.0	1.67E+03	4.50E+01	1.63E+03	3.54E+04
51.8	113.5	11.8	1.67E+03	4.51E+01	1.63E+03	3.55E+04
51.9	112.3	11.7	1.67E+03	4.52E+01	1.63E+03	3.55E+04
52.0	111.2	11.6	1.67E+03	4.53E+01	1.64E+03	3.56E+04
52.1	110.1	11.5	1.68E+03	4.53E+01	1.64E+03	3.57E+04
52.2	109.0	11.4	1.68E+03	4.54E+01	1.64E+03	3.57E+04
52.3	108.0	11.3	1.68E+03	4.55E+01	1.64E+03	3.58E+04
52.4	106.9	11.2	1.69E+03	4.56E+01	1.65E+03	3.59E+04
52.5	105.9	11.1	1.69E+03	4.57E+01	1.65E+03	3.59E+04
52.6	105.0	11.0	1.69E+03	4.57E+01	1.65E+03	3.60E+04
52.7	104.0	10.9	1.70E+03	4.58E+01	1.66E+03	3.60E+04
52.8	103.1	10.8	1.70E+03	4.59E+01	1.66E+03	3.61E+04
52.9	102.2	10.7	1.70E+03	4.60E+01	1.66E+03	3.62E+04
53.0	101.3	10.6	1.70E+03	4.60E+01	1.66E+03	3.62E+04
53.1	100.5	10.5	1.71E+03	4.61E+01	1.67E+03	3.63E+04
53.2	99.7	10.4	1.71E+03	4.62E+01	1.67E+03	3.63E+04
53.3	98.8	10.3	1.71E+03	4.63E+01	1.67E+03	3.64E+04
53.4	98.1	10.2	1.71E+03	4.63E+01	1.68E+03	3.65E+04
53.5	97.3	10.2	1.72E+03	4.64E+01	1.68E+03	3.65E+04
53.6	96.5	10.1	1.72E+03	4.65E+01	1.68E+03	3.66E+04
53.7	95.8	10.0	1.72E+03	4.66E+01	1.68E+03	3.66E+04
53.8	95.1	9.9	1.73E+03	4.66E+01	1.69E+03	3.67E+04
53.9	94.4	9.9	1.73E+03	4.67E+01	1.69E+03	3.68E+04
